t11,v11,c
22,3.6,174.71
22,3.6,174.82
22,3.6,174.63
22,3.6,174.73
22,3.6,174.82
22,3.6,174.94
22,3.6,174.63
22,3.6,174.75
22,3.6,174.73
22,3.6,175.17
22,3.6,174.31
22,3.6,174.9
22,3.6,175.26
22,3.6,175.07
22,3.6,174.63
22,3.6,174.0
22,3.6,174.96
22,3.6,174.86
22,3.6,174.71
22,3.6,174.84
22,3.6,175.03
22,3.6,175.05
22,3.6,175.36
21,3.6,175.07
22,3.6,175.15
22,3.6,175.15
22,3.6,174.5
22,3.6,175.26
22,3.6,174.84
22,3.6,175.15
22,3.6,174.52
22,3.6,174.71
22,3.6,175.13
22,3.6,174.4
22,3.6,174.77
22,3.6,174.82
22,3.6,174.63
22,3.6,174.48
22,3.6,174.29
22,3.6,174.73
22,3.6,174.84
22,3.6,174.61
22,3.6,175.49
22,3.6,174.82
22,3.6,174.94
22,3.6,174.96
22,3.6,174.52
22,3.6,174.71
22,3.6,175.05
22,3.6,174.82
22,3.6,174.52
22,3.6,174.94
22,3.6,175.17
22,3.6,174.73
22,3.6,174.96
22,3.6,174.63
22,3.6,175.26
22,3.6,175.07
22,3.6,174.94
22,3.6,174.92
22,3.6,175.15
22,3.6,175.19
22,3.6,175.07
22,3.6,175.28
22,3.6,174.52
22,3.6,175.59
22,3.6,175.28
22,3.6,174.5
22,3.6,175.07
22,3.6,175.36
22,3.6,175.15
22,3.6,175.49
22,3.6,174.59
22,3.6,175.45
22,3.6,174.44
22,3.6,174.5
22,3.6,175.24
22,3.6,175.28
22,3.6,174.96
22,3.6,174.75
22,3.6,174.4
22,3.6,174.63
22,3.6,175.38
22,3.6,174.96
22,3.6,174.84
22,3.6,174.63
22,3.6,175.36
22,3.6,174.94
22,3.6,174.5
21,3.6,174.96
21,3.6,175.49
23,3.6,174.86
22,3.6,174.63
22,3.6,175.38
22,3.6,175.49
22,3.6,175.49
22,3.6,175.17
22,3.6,175.24
22,3.6,174.65
22,3.6,174.84
22,3.6,174.44
22,3.6,174.73
22,3.6,174.84
22,3.6,174.82
22,3.6,174.92
22,3.6,175.51
22,3.6,175.07
22,3.6,175.24
22,3.6,174.61
22,3.6,175.3
22,3.6,175.4
22,3.6,175.38
22,3.6,175.49
22,3.6,174.84
22,3.6,174.96
22,3.6,175.51
22,3.6,175.07
22,3.6,174.52
22,3.6,174.86
22,3.6,174.84
22,3.6,175.28
22,3.6,175.07
22,3.6,174.73
22,3.6,174.73
22,3.6,175.72
22,3.6,175.28
22,3.6,175.38
22,3.6,175.15
22,3.6,174.96
22,3.6,174.73
22,3.6,175.38
22,3.6,175.17
22,3.6,175.05
22,3.6,174.75
22,3.6,174.65
22,3.6,174.84
22,3.6,175.49
22,3.6,174.94
22,3.6,175.38
22,3.6,174.63
22,3.6,175.07
22,3.6,174.54
22,3.6,175.7
22,3.6,175.15
22,3.6,175.07
22,3.6,175.07
22,3.6,174.71
22,3.6,174.65
22,3.6,174.75
22,3.6,175.05
22,3.6,174.96
21,3.6,174.75
22,3.6,175.17
22,3.6,175.05
22,3.6,175.28
22,3.6,174.94
22,3.6,175.62
22,3.6,175.7
22,3.6,174.63
22,3.6,174.52
22,3.6,174.82
22,3.6,174.73
22,3.6,174.73
22,3.6,175.07
22,3.6,175.7
22,3.6,174.94
22,3.6,174.73
22,3.6,175.17
22,3.6,175.15
22,3.6,174.92
22,3.6,174.84
21,3.6,175.36
22,3.6,175.05
22,3.6,175.51
22,3.6,175.36
22,3.6,175.51
22,3.6,175.17
22,3.6,174.86
22,3.6,175.3
22,3.6,174.84
22,3.6,174.94
22,3.6,175.05
22,3.6,174.92
22,3.6,175.15
22,3.6,174.73
22,3.6,175.19
21,3.6,174.84
22,3.6,175.62
22,3.6,174.63
22,3.6,174.88
22,3.6,174.5
22,3.6,175.07
22,3.6,175.93
22,3.6,175.17
22,3.6,174.84
22,3.6,175.3
22,3.6,174.52
22,3.6,174.77
22,3.6,174.73
22,3.6,174.82
22,3.6,174.65
21,3.6,174.65
22,3.6,175.07
22,3.6,175.38
22,3.6,175.3
22,3.6,175.62
22,3.6,175.62
22,3.6,175.51
21,3.6,175.15
22,3.6,174.94
22,3.6,174.94
22,3.6,175.51
22,3.6,175.38
22,3.6,174.84
21,3.6,175.28
22,3.6,175.26
22,3.6,175.19
21,3.6,175.28
22,3.6,174.77
22,3.6,175.51
22,3.6,175.15
22,3.6,175.17
22,3.6,174.65
22,3.6,174.94
22,3.6,175.36
22,3.6,174.94
21,3.6,175.51
22,3.6,175.03
22,3.6,175.28
22,3.6,174.86
22,3.6,174.73
22,3.6,175.59
22,3.6,174.84
22,3.6,174.42
22,3.6,174.96
22,3.6,175.05
22,3.6,175.38
22,3.6,174.96
22,3.6,175.62
22,3.6,174.96
22,3.6,175.3
22,3.6,175.59
22,3.6,175.38
22,3.6,175.83
21,3.6,174.98
22,3.6,175.38
22,3.6,175.72
22,3.6,175.38
22,3.6,175.72
22,3.6,175.26
22,3.6,174.86
22,3.6,174.94
22,3.6,175.26
21,3.6,175.38
21,3.6,175.28
22,3.6,175.17
21,3.6,175.4
22,3.6,175.57
22,3.6,175.7
21,3.6,175.17
22,3.6,175.07
22,3.6,175.38
22,3.6,175.38
22,3.6,175.07
22,3.6,174.86
22,3.6,175.3
22,3.6,174.73
22,3.6,175.28
21,3.6,175.05
22,3.6,175.4
22,3.6,175.19
22,3.6,175.07
21,3.6,175.07
22,3.6,175.05
21,3.6,175.15
22,3.6,175.17
22,3.6,175.4
22,3.6,174.96
21,3.6,175.15
22,3.6,175.49
22,3.6,174.63
22,3.6,175.19
22,3.6,175.05
22,3.6,175.07
22,3.6,175.28
22,3.6,175.07
22,3.6,175.62
21,3.6,175.62
21,3.6,175.28
22,3.6,175.3
22,3.6,175.47
22,3.6,175.32
22,3.6,175.4
22,3.6,175.28
22,3.6,175.28
22,3.6,175.59
22,3.6,175.17
22,3.6,174.52
22,3.6,175.49
22,3.6,175.62
22,3.6,175.17
22,3.6,175.57
22,3.6,175.7
22,3.6,175.59
23,3.6,175.26
22,3.6,175.38
23,3.6,175.83
23,3.6,175.72
23,3.6,175.07
24,3.6,175.05
23,3.6,174.42
23,3.6,174.94
24,3.6,175.28
23,3.6,175.51
24,3.6,175.36
24,3.6,175.4
24,3.6,175.59
24,3.6,174.73
24,3.6,175.38
25,3.6,174.84
24,3.6,174.73
24,3.6,174.73
25,3.6,174.94
25,3.6,175.15
25,3.6,174.73
25,3.6,175.28
25,3.6,175.15
26,3.6,174.96
25,3.6,175.07
25,3.6,174.86
25,3.6,174.63
26,3.6,174.84
26,3.6,175.26
26,3.6,174.94
26,3.6,174.86
27,3.6,174.73
27,3.6,174.75
27,3.6,174.73
27,3.6,174.96
27,3.6,174.73
27,3.6,174.63
27,3.6,174.61
27,3.6,174.73
28,3.6,175.17
27,3.6,174.63
28,3.6,174.94
28,3.6,174.52
28,3.6,174.86
28,3.6,174.84
28,3.6,174.52
28,3.6,175.05
28,3.6,174.73
28,3.6,174.84
27,3.6,175.07
28,3.6,174.19
28,3.6,174.84
28,3.6,174.71
28,3.6,174.61
28,3.6,175.17
28,3.6,174.75
29,3.6,174.5
29,3.6,174.61
29,3.6,174.86
29,3.6,174.63
29,3.6,174.63
29,3.6,174.5
29,3.6,174.65
29,3.6,174.61
30,3.6,174.84
29,3.6,174.75
30,3.6,175.05
30,3.6,174.73
30,3.6,174.52
30,3.6,174.5
30,3.6,174.86
30,3.6,174.75
31,3.6,174.84
30,3.6,174.52
30,3.6,174.84
30,3.6,174.61
30,3.6,174.29
30,3.6,174.19
30,3.6,174.52
30,3.6,174.63
30,3.6,174.61
29,3.6,174.84
30,3.6,174.5
30,3.6,174.63
30,3.6,174.61
30,3.6,174.52
30,3.6,174.5
30,3.6,174.54
30,3.6,174.4
30,3.6,174.61
30,3.6,174.73
30,3.6,174.61
29,3.6,174.09
30,3.6,174.63
29,3.6,174.5
29,3.6,174.29
30,3.6,174.5
29,3.6,174.4
29,3.6,174.5
29,3.6,174.27
29,3.6,174.52
29,3.6,174.94
29,3.6,174.52
29,3.6,174.73
29,3.6,174.73
29,3.6,174.4
29,3.6,174.19
29,3.6,174.96
29,3.6,174.73
29,3.6,174.29
29,3.6,174.84
28,3.6,174.29
29,3.6,174.71
29,3.6,174.21
28,3.6,174.84
29,3.6,174.94
29,3.6,174.52
29,3.6,174.34
29,3.6,174.84
29,3.6,174.84
28,3.6,174.63
29,3.6,174.61
28,3.6,174.73
28,3.6,174.4
28,3.6,174.96
28,3.6,174.73
28,3.6,174.42
28,3.6,174.38
29,3.6,174.5
28,3.6,174.19
28,3.6,174.94
28,3.6,174.63
28,3.6,174.4
28,3.6,175.17
27,3.6,174.31
28,3.6,174.71
28,3.6,174.38
27,3.6,174.86
28,3.6,174.52
28,3.6,174.71
27,3.6,174.94
28,3.6,174.5
28,3.6,174.63
27,3.6,174.54
28,3.6,174.4
27,3.6,174.38
27,3.6,174.73
28,3.6,174.73
27,3.6,174.65
27,3.6,174.86
27,3.6,174.63
27,3.6,174.84
27,3.6,174.29
27,3.6,174.61
27,3.6,174.52
27,3.6,174.92
27,3.6,174.65
27,3.6,174.73
27,3.6,174.52
27,3.6,174.63
27,3.6,174.84
27,3.6,174.19
27,3.6,174.73
27,3.6,174.65
27,3.6,174.71
27,3.6,174.94
27,3.6,174.63
27,3.6,174.71
27,3.6,174.61
27,3.6,174.63
27,3.6,174.73
27,3.6,174.82
27,3.6,174.73
27,3.6,174.5
27,3.6,174.29
27,3.6,174.52
27,3.6,174.86
27,3.6,174.52
27,3.6,174.73
27,3.6,174.52
27,3.6,174.29
27,3.6,174.63
27,3.6,174.5
27,3.6,174.71
27,3.6,174.65
27,3.6,174.4
27,3.6,174.63
27,3.6,174.84
27,3.6,174.96
27,3.6,174.75
27,3.6,174.84
27,3.6,174.84
27,3.6,174.71
27,3.6,174.94
27,3.6,173.98
27,3.6,174.86
27,3.6,175.17
27,3.6,174.38
27,3.6,174.31
27,3.6,174.5
27,3.6,174.5
27,3.6,174.82
27,3.6,174.94
27,3.6,174.73
27,3.6,174.75
27,3.6,174.96
27,3.6,174.52
27,3.6,175.05
27,3.6,174.63
27,3.6,174.63
27,3.6,174.19
27,3.6,175.05
27,3.6,174.63
27,3.6,174.94
27,3.6,175.05
27,3.6,174.65
27,3.6,175.07
27,3.6,174.71
27,3.6,174.73
27,3.6,174.73
26,3.6,174.42
27,3.6,174.92
27,3.6,174.94
27,3.6,174.52
27,3.6,174.75
27,3.6,174.5
27,3.6,175.17
27,3.6,174.54
27,3.6,174.61
27,3.6,174.65
27,3.6,174.86
27,3.6,174.75
27,3.6,174.63
27,3.6,174.96
27,3.6,175.17
27,3.6,174.65
27,3.6,174.82
26,3.6,175.17
27,3.6,174.75
27,3.6,175.28
27,3.6,174.84
27,3.6,174.61
27,3.6,174.61
27,3.6,174.73
27,3.6,174.63
27,3.6,174.73
26,3.6,174.86
27,3.6,175.07
27,3.6,174.63
27,3.6,174.96
27,3.6,174.73
27,3.6,174.84
27,3.6,174.86
27,3.6,174.82
27,3.6,175.09
27,3.6,174.75
27,3.6,174.94
26,3.6,174.75
27,3.6,174.63
27,3.6,175.05
27,3.6,175.28
27,3.6,174.84
27,3.6,174.98
27,3.6,174.65
27,3.6,175.05
27,3.6,174.5
27,3.6,174.5
27,3.6,174.73
26,3.6,174.31
27,3.6,174.86
26,3.6,174.86
26,3.6,174.94
26,3.6,175.17
26,3.6,174.61
26,3.6,174.94
26,3.6,174.84
26,3.6,174.84
26,3.6,174.42
26,3.6,175.07
26,3.6,175.4
26,3.6,174.63
26,3.6,175.07
26,3.6,174.94
26,3.6,174.65
26,3.6,174.75
26,3.6,174.96
26,3.6,174.65
26,3.6,174.96
26,3.6,175.17
26,3.6,175.09
26,3.6,174.75
26,3.6,175.17
26,3.6,174.61
26,3.6,174.96
26,3.6,174.73
26,3.6,174.71
26,3.6,174.61
26,3.6,174.71
26,3.6,174.84
26,3.6,174.96
26,3.6,174.63
26,3.6,174.63
26,3.6,174.63
26,3.6,174.71
26,3.6,175.07
26,3.6,174.86
26,3.6,174.29
26,3.6,174.73
26,3.6,174.84
26,3.6,175.05
26,3.6,175.26
26,3.6,174.82
26,3.6,175.4
26,3.6,174.96
26,3.6,174.86
26,3.6,175.07
26,3.6,174.73
26,3.6,174.86
26,3.6,175.07
26,3.6,175.09
26,3.6,175.07
26,3.6,175.19
26,3.6,175.07
26,3.6,174.96
26,3.6,175.07
26,3.6,174.96
26,3.6,174.71
26,3.6,174.96
26,3.6,174.73
26,3.6,174.94
26,3.6,175.15
25,3.6,175.28
26,3.6,174.96
26,3.6,175.15
25,3.6,174.96
26,3.6,174.86
26,3.6,174.86
26,3.6,175.38
26,3.6,175.51
25,3.6,174.73
26,3.6,174.94
26,3.6,174.42
25,3.6,174.42
26,3.6,174.86
25,3.6,175.05
26,3.6,174.92
26,3.6,175.15
25,3.6,174.73
25,3.6,174.42
26,3.6,174.84
25,3.6,175.19
26,3.6,175.07
26,3.6,174.96
25,3.6,175.4
26,3.6,174.65
25,3.6,175.17
26,3.6,174.42
26,3.6,174.57
25,3.6,174.77
26,3.6,175.28
26,3.6,174.63
26,3.6,174.84
26,3.6,175.17
25,3.6,175.38
25,3.6,174.84
26,3.6,175.07
26,3.6,174.98
26,3.6,175.4
26,3.6,175.05
26,3.6,175.28
26,3.6,175.64
26,3.6,175.17
26,3.6,174.96
25,3.6,175.28
25,3.6,174.4
25,3.6,174.96
25,3.6,174.94
25,3.6,175.28
26,3.6,174.94
25,3.6,174.94
26,3.6,175.38
25,3.6,175.15
25,3.6,175.4
26,3.6,175.17
26,3.6,175.09
26,3.6,174.96
26,3.6,174.96
26,3.6,174.77
26,3.6,175.19
25,3.6,175.59
25,3.6,175.17
26,3.6,174.86
25,3.6,175.28
25,3.6,174.96
25,3.6,174.96
25,3.6,175.17
26,3.6,175.53
26,3.6,174.75
26,3.6,175.4
25,3.6,175.17
25,3.6,175.05
25,3.6,175.28
25,3.6,175.59
26,3.6,175.07
26,3.6,175.4
25,3.6,175.07
26,3.6,175.07
25,3.6,174.96
26,3.6,174.96
25,3.6,175.4
25,3.6,175.11
25,3.6,175.51
25,3.6,175.28
25,3.6,175.28
25,3.6,175.05
25,3.6,174.75
25,3.6,175.83
25,3.6,174.96
25,3.6,175.05
25,3.6,175.09
25,3.6,174.75
25,3.6,175.17
25,3.6,175.07
25,3.6,175.49
25,3.6,174.96
25,3.6,175.26
25,3.6,175.15
25,3.6,174.86
25,3.6,175.3
25,3.6,175.28
26,3.6,175.3
25,3.6,175.51
26,3.6,175.15
25,3.6,175.26
25,3.6,174.94
25,3.6,174.98
25,3.6,174.94
25,3.6,174.54
25,3.6,174.96
25,3.6,175.19
25,3.6,175.7
25,3.6,175.05
25,3.6,175.3
25,3.6,175.62
25,3.6,175.15
25,3.6,175.3
25,3.6,175.28
25,3.6,175.28
25,3.6,175.4
25,3.6,175.4
25,3.6,175.4
25,3.6,175.07
25,3.6,175.62
25,3.6,175.3
25,3.6,175.49
25,3.6,175.17
25,3.6,175.15
25,3.6,175.38
25,3.6,174.96
25,3.6,175.07
25,3.6,175.19
25,3.6,174.96
25,3.6,175.62
25,3.6,175.09
25,3.6,175.36
25,3.6,175.74
25,3.6,175.49
25,3.6,175.72
25,3.6,175.17
25,3.6,175.3
25,3.6,175.43
25,3.6,175.28
25,3.6,175.3
25,3.6,175.62
25,3.6,175.4
25,3.6,175.4
25,3.6,175.07
25,3.6,174.86
25,3.6,175.3
25,3.6,174.98
25,3.6,175.3
25,3.6,175.3
25,3.6,175.81
25,3.6,175.09
25,3.6,175.4
25,3.6,175.28
25,3.6,175.59
25,3.6,175.09
25,3.6,175.95
25,3.6,175.4
25,3.6,175.17
25,3.6,175.85
25,3.6,175.51
25,3.6,175.62
25,3.6,175.28
25,3.6,175.17
25,3.6,174.98
25,3.6,175.07
25,3.6,175.51
25,3.6,175.38
25,3.6,175.74
25,3.6,175.83
25,3.6,175.49
25,3.6,175.83
25,3.6,175.11
25,3.6,175.05
25,3.6,175.17
25,3.6,175.3
25,3.6,175.74
25,3.6,175.53
24,3.6,175.64
25,3.6,175.62
25,3.6,175.19
25,3.6,175.28
25,3.6,175.72
25,3.6,175.05
25,3.6,175.3
25,3.6,175.72
25,3.6,175.28
25,3.6,175.38
24,3.6,175.38
25,3.6,174.96
24,3.6,176.06
25,3.6,175.17
25,3.6,175.64
25,3.6,175.28
24,3.6,175.51
